Date,Open,High,Low,Close,Volume,Market Cap,Cryptocurrency
"Oct 01, 2022",$0.4798,$0.4835,$0.4696,$0.4751,"$1,544,057,825","$23,708,298,085",XRP
"Sep 30, 2022",$0.4854,$0.496,$0.4722,$0.4798,"$3,780,354,931","$23,941,064,802",XRP
"Sep 29, 2022",$0.4506,$0.503,$0.4285,$0.4854,"$3,292,742,359","$24,222,633,573",XRP
"Sep 28, 2022",$0.4486,$0.4544,$0.4196,$0.4507,"$2,670,489,294","$22,488,810,461",XRP
"Sep 27, 2022",$0.4678,$0.4852,$0.4403,$0.4488,"$2,838,537,511","$22,394,230,954",XRP
"Sep 26, 2022",$0.4927,$0.4999,$0.4598,$0.4677,"$2,916,387,564","$23,337,442,440",XRP
"Sep 25, 2022",$0.4887,$0.5183,$0.4787,$0.4926,"$3,422,191,941","$24,556,855,664",XRP
"Sep 24, 2022",$0.5072,$0.515,$0.474,$0.4887,"$3,512,953,969","$24,361,892,064",XRP
"Sep 23, 2022",$0.4851,$0.5523,$0.4589,$0.5072,"$7,798,770,582","$25,281,849,966",XRP
"Sep 22, 2022",$0.3965,$0.4912,$0.3948,$0.4851,"$4,916,275,588","$24,181,658,725",XRP
"Sep 21, 2022",$0.4152,$0.4283,$0.388,$0.3968,"$3,401,100,359","$19,781,367,193",XRP
"Sep 20, 2022",$0.387,$0.4215,$0.3725,$0.4152,"$3,912,067,532","$20,696,344,827",XRP
"Sep 19, 2022",$0.3583,$0.3915,$0.3418,$0.3871,"$2,788,638,051","$19,295,117,862",XRP
"Sep 18, 2022",$0.3769,$0.3969,$0.3581,$0.3583,"$2,485,765,138","$17,853,819,363",XRP
"Sep 17, 2022",$0.3566,$0.3789,$0.3476,$0.377,"$1,621,592,330","$18,784,590,639",XRP
"Sep 16, 2022",$0.3264,$0.3571,$0.3235,$0.3567,"$1,375,977,237","$17,772,325,399",XRP
"Sep 15, 2022",$0.3421,$0.3425,$0.3256,$0.3263,"$1,521,572,444","$16,259,959,473",XRP
"Sep 14, 2022",$0.333,$0.3439,$0.3324,$0.3421,"$1,227,835,854","$17,044,594,427",XRP
"Sep 13, 2022",$0.3595,$0.3596,$0.332,$0.3337,"$1,443,625,685","$16,626,554,286",XRP
"Sep 12, 2022",$0.3551,$0.3594,$0.3493,$0.3594,"$1,077,587,297","$17,909,722,399",XRP
"Sep 11, 2022",$0.3577,$0.3595,$0.3518,$0.3551,"$650,515,883","$17,694,152,749",XRP
"Sep 10, 2022",$0.3575,$0.3612,$0.353,$0.3577,"$851,397,394","$17,821,814,164",XRP
"Sep 09, 2022",$0.3402,$0.3576,$0.34,$0.3575,"$1,487,790,472","$17,813,656,403",XRP
"Sep 08, 2022",$0.3373,$0.3426,$0.3294,$0.3402,"$1,065,222,913","$16,891,985,461",XRP
"Sep 07, 2022",$0.3222,$0.3384,$0.3159,$0.3374,"$1,128,804,315","$16,749,087,226",XRP
"Sep 06, 2022",$0.333,$0.3426,$0.3211,$0.3222,"$1,337,360,825","$15,996,480,398",XRP
"Sep 05, 2022",$0.3318,$0.3332,$0.3234,$0.333,"$761,048,973","$16,530,280,700",XRP
"Sep 04, 2022",$0.33,$0.3325,$0.3289,$0.3318,"$431,905,800","$16,472,643,158",XRP
"Sep 03, 2022",$0.3313,$0.3326,$0.3276,$0.33,"$473,116,925","$16,381,795,219",XRP
"Sep 02, 2022",$0.3332,$0.3349,$0.3263,$0.3313,"$899,373,528","$16,445,851,060",XRP
"Sep 01, 2022",$0.3279,$0.3332,$0.3224,$0.3332,"$875,126,154","$16,541,923,560",XRP
"Aug 31, 2022",$0.3269,$0.3336,$0.3249,$0.3279,"$882,676,752","$16,277,583,810",XRP
"Aug 30, 2022",$0.3338,$0.3355,$0.3211,$0.3269,"$948,448,428","$16,227,920,584",XRP
"Aug 29, 2022",$0.3231,$0.3338,$0.3194,$0.3338,"$980,137,287","$16,571,829,586",XRP
"Aug 28, 2022",$0.3353,$0.3372,$0.3231,$0.3231,"$596,573,621","$16,005,208,825",XRP
"Aug 27, 2022",$0.3384,$0.3402,$0.3304,$0.3353,"$920,820,399","$16,612,156,193",XRP
